stateCode,sourceCode,sectorCode,year,msnCode,energyProduced
CT,PA,IC,1960,PAICB,98516
CT,PA,RC,1960,PARCB,100577
CT,PA,TC,1960,PATCB,362231
CT,RE,TC,1960,RETCB,17406
DC,CL,AC,1960,CLACB,206
DC,CL,CC,1960,CLCCB,1377
DC,CL,EI,1960,CLEIB,12248
DC,CL,IC,1960,CLICB,11981
DC,CL,RC,1960,CLRCB,1981
DC,CL,TC,1960,CLTXB,15545
DC,NG,AC,1960,NGACB,9
DC,NG,CC,1960,NGCCB,3729
DC,NG,EI,1960,NGEIB,0
DC,NG,IC,1960,NGICB,168
DC,NG,RC,1960,NGRCB,9045
DC,NG,TC,1960,NGTXB,12951
DC,NU,TC,1960,NUETB,0
DC,PA,AC,1960,PAACB,28225
DC,PA,CC,1960,PACCB,15882
DC,PA,EI,1960,PAEIB,74
DC,PA,IC,1960,PAICB,7666
DC,PA,RC,1960,PARCB,8037
DC,PA,TC,1960,PATCB,59884
DC,RE,TC,1960,RETCB,155
DE,CL,AC,1960,CLACB,14
DE,CL,CC,1960,CLCCB,210
DE,CL,EI,1960,CLEIB,19147
DE,CL,IC,1960,CLICB,823
DE,CL,RC,1960,CLRCB,302
DE,CL,TC,1960,CLTXB,1348
DE,NG,AC,1960,NGACB,0
DE,NG,CC,1960,NGCCB,586
DE,NG,EI,1960,NGEIB,3301
DE,NG,IC,1960,NGICB,1519
DE,NG,RC,1960,NGRCB,3945
DE,NG,TC,1960,NGTXB,6050
DE,NU,TC,1960,NUETB,0
DE,PA,AC,1960,PAACB,43721
DE,PA,CC,1960,PACCB,15657
DE,PA,EI,1960,PAEIB,295
DE,PA,IC,1960,PAICB,50469
DE,PA,RC,1960,PARCB,13798
DE,PA,TC,1960,PATCB,123940
DE,RE,TC,1960,RETCB,4982
FL,CL,AC,1960,CLACB,0
FL,CL,CC,1960,CLCCB,0
FL,CL,EI,1960,CLEIB,27176
FL,CL,IC,1960,CLICB,0
FL,CL,RC,1960,CLRCB,0
FL,CL,TC,1960,CLTXB,0
FL,NG,AC,1960,NGACB,1035
FL,NG,CC,1960,NGCCB,7223
FL,NG,EI,1960,NGEIB,91616
FL,NG,IC,1960,NGICB,36423
FL,NG,RC,1960,NGRCB,6603
FL,NG,TC,1960,NGTXB,51284
FL,NU,TC,1960,NUETB,0
FL,PA,AC,1960,PAACB,346966
FL,PA,CC,1960,PACCB,33253
FL,PA,EI,1960,PAEIB,85478
FL,PA,IC,1960,PAICB,118484
FL,PA,RC,1960,PARCB,27728
FL,PA,TC,1960,PATCB,611909
FL,RE,TC,1960,RETCB,35680
GA,CL,AC,1960,CLACB,239
GA,CL,CC,1960,CLCCB,3884
GA,CL,EI,1960,CLEIB,65318
GA,CL,IC,1960,CLICB,13922
GA,CL,RC,1960,CLRCB,5589
GA,CL,TC,1960,CLTXB,23633
GA,NG,AC,1960,NGACB,3669
GA,NG,CC,1960,NGCCB,22145
GA,NG,EI,1960,NGEIB,26223
GA,NG,IC,1960,NGICB,78625
GA,NG,RC,1960,NGRCB,57798
GA,NG,TC,1960,NGTXB,162237
GA,NU,TC,1960,NUETB,0
GA,PA,AC,1960,PAACB,204183
GA,PA,CC,1960,PACCB,7609
GA,PA,EI,1960,PAEIB,254
GA,PA,IC,1960,PAICB,77221
GA,PA,RC,1960,PARCB,12156
GA,PA,TC,1960,PATCB,301423
GA,RE,TC,1960,RETCB,96016
HI,CL,AC,1960,CLACB,0
HI,CL,CC,1960,CLCCB,0
HI,CL,EI,1960,CLEIB,0
HI,CL,IC,1960,CLICB,0
HI,CL,RC,1960,CLRCB,0
HI,CL,TC,1960,CLTXB,0
HI,NG,AC,1960,NGACB,0
HI,NG,CC,1960,NGCCB,0
HI,NG,EI,1960,NGEIB,0
HI,NG,IC,1960,NGICB,0
HI,NG,RC,1960,NGRCB,0
HI,NG,TC,1960,NGTXB,0
HI,NU,TC,1960,NUETB,0
HI,PA,AC,1960,PAACB,61778
HI,PA,CC,1960,PACCB,1115
HI,PA,EI,1960,PAEIB,17311
HI,PA,IC,1960,PAICB,14243
HI,PA,RC,1960,PARCB,100
HI,PA,TC,1960,PATCB,94547
HI,RE,TC,1960,RETCB,292
IA,CL,AC,1960,CLACB,884
IA,CL,CC,1960,CLCCB,7956
IA,CL,EI,1960,CLEIB,43982
IA,CL,IC,1960,CLICB,51674
IA,CL,RC,1960,CLRCB,11448
IA,CL,TC,1960,CLTXB,71963
IA,NG,AC,1960,NGACB,9233
IA,NG,CC,1960,NGCCB,28838
IA,NG,EI,1960,NGEIB,50288
IA,NG,IC,1960,NGICB,44853
IA,NG,RC,1960,NGRCB,60475
IA,NG,TC,1960,NGTXB,143400
IA,NU,TC,1960,NUETB,0
IA,PA,AC,1960,PAACB,140884
IA,PA,CC,1960,PACCB,10517
IA,PA,EI,1960,PAEIB,1751
IA,PA,IC,1960,PAICB,90098
IA,PA,RC,1960,PARCB,41717
IA,PA,TC,1960,PATCB,284968
IA,RE,TC,1960,RETCB,15884
ID,CL,AC,1960,CLACB,86
ID,CL,CC,1960,CLCCB,4815
ID,CL,EI,1960,CLEIB,0
ID,CL,IC,1960,CLICB,5014
ID,CL,RC,1960,CLRCB,6929
ID,CL,TC,1960,CLTXB,16845
ID,NG,AC,1960,NGACB,506
ID,NG,CC,1960,NGCCB,2892
ID,NG,EI,1960,NGEIB,0
ID,NG,IC,1960,NGICB,17121
ID,NG,RC,1960,NGRCB,2257
ID,NG,TC,1960,NGTXB,22776
ID,NU,TC,1960,NUETB,0
ID,PA,AC,1960,PAACB,41856
ID,PA,CC,1960,PACCB,2553
ID,PA,EI,1960,PAEIB,1
ID,PA,IC,1960,PAICB,24339
ID,PA,RC,1960,PARCB,4895
ID,PA,TC,1960,PATCB,73643
ID,RE,TC,1960,RETCB,77688
IL,CL,AC,1960,CLACB,5663
IL,CL,CC,1960,CLCCB,62835
IL,CL,EI,1960,CLEIB,416919
IL,CL,IC,1960,CLICB,338810
IL,CL,RC,1960,CLRCB,90421
IL,CL,TC,1960,CLTXB,497729
IL,NG,AC,1960,NGACB,10420
IL,NG,CC,1960,NGCCB,48906
IL,NG,EI,1960,NGEIB,43830
IL,NG,IC,1960,NGICB,192728
IL,NG,RC,1960,NGRCB,240242
IL,NG,TC,1960,NGTXB,492297
IL,NU,TC,1960,NUETB,2958
IL,PA,AC,1960,PAACB,484691
IL,PA,CC,1960,PACCB,86342
IL,PA,EI,1960,PAEIB,2158
IL,PA,IC,1960,PAICB,407833
IL,PA,RC,1960,PARCB,120945
IL,PA,TC,1960,PATCB,1101969
IL,RE,TC,1960,RETCB,33020
IN,CL,AC,1960,CLACB,6886
IN,CL,CC,1960,CLCCB,20915
IN,CL,EI,1960,CLEIB,305249
IN,CL,IC,1960,CLICB,431795
IN,CL,RC,1960,CLRCB,30097
IN,CL,TC,1960,CLTXB,489693
IN,NG,AC,1960,NGACB,5177
IN,NG,CC,1960,NGCCB,20743
IN,NG,EI,1960,NGEIB,9098
IN,NG,IC,1960,NGICB,106077
IN,NG,RC,1960,NGRCB,78663
IN,NG,TC,1960,NGTXB,210660
