stateCode,sourceCode,year,msnCode,energyProduced
NE,CL,1960,CLPRB,0.0
NE,NG,1960,NGMPB,17723.0
NE,NU,1960,NUETB,0.0
NE,PA,1960,PAPRB,138185.0
NE,RE,1960,REPRB,13425.0
NH,CL,1960,CLPRB,0.0
NH,NG,1960,NGMPB,0.0
NH,NU,1960,NUETB,0.0
NH,PA,1960,PAPRB,0.0
NH,RE,1960,REPRB,25629.0
NJ,CL,1960,CLPRB,0.0
NJ,NG,1960,NGMPB,0.0
NJ,NU,1960,NUETB,0.0
NJ,PA,1960,PAPRB,0.0
NJ,RE,1960,REPRB,20514.0
NM,CL,1960,CLPRB,5518.0
NM,NG,1960,NGMPB,924217.0
NM,NU,1960,NUETB,0.0
NM,PA,1960,PAPRB,622804.0
NM,RE,1960,REPRB,7373.0
NV,CL,1960,CLPRB,0.0
NV,NG,1960,NGMPB,0.0
NV,NU,1960,NUETB,0.0
NV,PA,1960,PAPRB,157.0
NV,RE,1960,REPRB,22110.0
NY,CL,1960,CLPRB,0.0
NY,NG,1960,NGMPB,5095.0
NY,NU,1960,NUETB,0.0
NY,PA,1960,PAPRB,10515.0
NY,RE,1960,REPRB,189314.0
OH,CL,1960,CLPRB,796648.0
OH,NG,1960,NGMPB,36904.0
OH,NU,1960,NUETB,0.0
OH,PA,1960,PAPRB,31349.0
OH,RE,1960,REPRB,36966.0
OK,CL,1960,CLPRB,33923.0
OK,NG,1960,NGMPB,900387.0
OK,NU,1960,NUETB,0.0
OK,PA,1960,PAPRB,1118895.0
OK,RE,1960,REPRB,17766.0
OR,CL,1960,CLPRB,0.0
OR,NG,1960,NGMPB,0.0
OR,NU,1960,NUETB,0.0
OR,PA,1960,PAPRB,0.0
OR,RE,1960,REPRB,190489.0
PA,CL,1960,CLPRB,2169831.0
PA,NG,1960,NGMPB,117861.0
PA,NU,1960,NUETB,2674.0
PA,PA,1960,PAPRB,34852.0
PA,RE,1960,REPRB,66100.0
RI,CL,1960,CLPRB,0.0
RI,NG,1960,NGMPB,0.0
RI,NU,1960,NUETB,0.0
RI,PA,1960,PAPRB,0.0
RI,RE,1960,REPRB,2951.0
SC,CL,1960,CLPRB,0.0
SC,NG,1960,NGMPB,0.0
SC,NU,1960,NUETB,0.0
SC,PA,1960,PAPRB,0.0
SC,RE,1960,REPRB,81969.0
SD,CL,1960,CLPRB,262.0
SD,NG,1960,NGMPB,0.0
SD,NU,1960,NUETB,0.0
SD,PA,1960,PAPRB,1630.0
SD,RE,1960,REPRB,13974.0
TN,CL,1960,CLPRB,148915.0
TN,NG,1960,NGMPB,64.0
TN,NU,1960,NUETB,0.0
TN,PA,1960,PAPRB,116.0
TN,RE,1960,REPRB,138708.0
TX,CL,1960,CLPRB,26409.0
TX,NG,1960,NGMPB,6602696.0
TX,NU,1960,NUETB,0.0
TX,PA,1960,PAPRB,5379378.0
TX,RE,1960,REPRB,50155.0
US,CL,1960,CLPRB,10590206.0
US,NG,1960,NGMPB,14135836.0
US,NU,1960,NUETB,6026.0
US,PA,1960,PAPRB,14934611.0
US,RE,1960,REPRB,2928205.0
UT,CL,1960,CLPRB,114689.0
UT,NG,1960,NGMPB,51232.0
UT,NU,1960,NUETB,0.0
UT,PA,1960,PAPRB,218045.0
UT,RE,1960,REPRB,5494.0
VA,CL,1960,CLPRB,752355.0
VA,NG,1960,NGMPB,2285.0
VA,NU,1960,NUETB,0.0
VA,PA,1960,PAPRB,12.0
VA,RE,1960,REPRB,69706.0
VT,CL,1960,CLPRB,0.0
VT,NG,1960,NGMPB,0.0
VT,NU,1960,NUETB,0.0
VT,PA,1960,PAPRB,0.0
VT,RE,1960,REPRB,17339.0
WA,CL,1960,CLPRB,3714.0
WA,NG,1960,NGMPB,0.0
WA,NU,1960,NUETB,0.0
WA,PA,1960,PAPRB,6.0
WA,RE,1960,REPRB,428129.0
WI,CL,1960,CLPRB,0.0
WI,NG,1960,NGMPB,0.0
WI,NU,1960,NUETB,0.0
WI,PA,1960,PAPRB,0.0
WI,RE,1960,REPRB,64968.0
WV,CL,1960,CLPRB,2971458.0
WV,NG,1960,NGMPB,228911.0
WV,NU,1960,NUETB,0.0
WV,PA,1960,PAPRB,13340.0
WV,RE,1960,REPRB,23464.0
WY,CL,1960,CLPRB,35173.0
WY,NG,1960,NGMPB,198204.0
WY,NU,1960,NUETB,0.0
WY,PA,1960,PAPRB,776678.0
WY,RE,1960,REPRB,8174.0
X3,NG,1960,NGMPB,295451.0
X3,PA,1960,PAPRB,235527.0
